datetime,date,hour,weekday,weekday_name,is_weekend,month,store,store_type,product,category,unit_price,quantity,total_price,customer_id,temperature,is_loyalty
2024-01-02 08:00:00,2024-01-02,8,1,Tuesday,0,1,Uptown,Mall,Cold Brew,Cold,4.0,1.0,4.0,1779,6.1,0
2024-01-02 09:00:00,2024-01-02,9,1,Tuesday,0,1,Suburb-East,Mall,Cappuccino,Hot,4.5,3.0,13.5,2140,17.2,0
2024-01-02 09:00:00,2024-01-02,9,1,Tuesday,0,1,Suburb-East,Drive-Thru,Latte,Hot,4.0,3.0,12.0,1207,0.5,0
2024-01-02 09:00:00,2024-01-02,9,1,Tuesday,0,1,Downtown,Mall,Latte,Hot,4.0,3.0,12.0,4794,2.8,1
2024-01-02 10:00:00,2024-01-02,10,1,Tuesday,0,1,Uptown,Standalone,Tea,Hot,2.5,3.0,7.5,2989,7.3,0
2024-01-02 10:00:00,2024-01-02,10,1,Tuesday,0,1,Downtown,Standalone,Cappuccino,Hot,4.5,2.0,9.0,2552,-0.3,0
2024-01-02 10:00:00,2024-01-02,10,1,Tuesday,0,1,Midtown,Drive-Thru,Hot Chocolate,Hot,3.5,2.0,7.0,2168,17.4,0
2024-01-02 10:00:00,2024-01-02,10,1,Tuesday,0,1,Downtown,Mall,Espresso,Hot,3.0,1.0,3.0,4063,11.2,0
2024-01-02 10:00:00,2024-01-02,10,1,Tuesday,0,1,Suburb-West,Drive-Thru,Hot Chocolate,Hot,3.5,2.0,7.0,3059,-4.4,1
2024-01-02 11:00:00,2024-01-02,11,1,Tuesday,0,1,Uptown,Mall,Espresso,Hot,3.0,2.0,6.0,4935,21.9,0
2024-01-02 11:00:00,2024-01-02,11,1,Tuesday,0,1,Downtown,Standalone,Latte,Hot,4.0,2.0,8.0,3765,11.7,1
2024-01-02 11:00:00,2024-01-02,11,1,Tuesday,0,1,Downtown,Drive-Thru,Cold Brew,Cold,4.0,2.0,8.0,3371,-2.2,0
2024-01-02 11:00:00,2024-01-02,11,1,Tuesday,0,1,Downtown,Drive-Thru,Tea,Hot,2.5,3.0,7.5,3692,-1.9,0
2024-01-02 11:00:00,2024-01-02,11,1,Tuesday,0,1,Midtown,Standalone,Iced Latte,Cold,4.5,1.0,4.5,1836,16.6,0
2024-01-02 11:00:00,2024-01-02,11,1,Tuesday,0,1,Uptown,Drive-Thru,Iced Latte,Cold,4.5,1.0,4.5,2621,-3.3,0
2024-01-02 12:00:00,2024-01-02,12,1,Tuesday,0,1,Midtown,Mall,Hot Chocolate,Hot,3.5,3.0,10.5,2295,9.7,1
2024-01-02 12:00:00,2024-01-02,12,1,Tuesday,0,1,Downtown,Mall,Hot Chocolate,Hot,3.5,3.0,10.5,3544,-3.2,1
2024-01-02 12:00:00,2024-01-02,12,1,Tuesday,0,1,Downtown,Standalone,Cold Brew,Cold,4.0,2.0,8.0,3072,17.2,0
2024-01-02 12:00:00,2024-01-02,12,1,Tuesday,0,1,Downtown,Standalone,Cold Brew,Cold,4.0,2.0,8.0,2513,9.9,0
2024-01-02 13:00:00,2024-01-02,13,1,Tuesday,0,1,Suburb-West,Drive-Thru,Iced Latte,Cold,4.5,3.0,13.5,3505,14.1,1
2024-01-02 13:00:00,2024-01-02,13,1,Tuesday,0,1,Suburb-West,Standalone,Espresso,Hot,3.0,3.0,9.0,3735,9.9,1
2024-01-02 13:00:00,2024-01-02,13,1,Tuesday,0,1,Downtown,Mall,Cappuccino,Hot,4.5,2.0,9.0,2083,11.9,0
2024-01-02 13:00:00,2024-01-02,13,1,Tuesday,0,1,Suburb-West,Mall,Cappuccino,Hot,4.5,1.0,4.5,2115,13.3,0
2024-01-02 13:00:00,2024-01-02,13,1,Tuesday,0,1,Suburb-West,Mall,Hot Chocolate,Hot,3.5,1.0,3.5,2028,14.7,1
2024-01-02 14:00:00,2024-01-02,14,1,Tuesday,0,1,Downtown,Mall,Tea,Hot,2.5,2.0,5.0,4397,9.3,0
2024-01-02 14:00:00,2024-01-02,14,1,Tuesday,0,1,Midtown,Mall,Cappuccino,Hot,4.5,1.0,4.5,3609,21.0,1
2024-01-02 14:00:00,2024-01-02,14,1,Tuesday,0,1,Suburb-East,Mall,Tea,Hot,2.5,3.0,7.5,3297,6.6,0
2024-01-02 14:00:00,2024-01-02,14,1,Tuesday,0,1,Uptown,Drive-Thru,Espresso,Hot,3.0,2.0,6.0,4418,12.3,0
2024-01-02 14:00:00,2024-01-02,14,1,Tuesday,0,1,Uptown,Standalone,Tea,Hot,2.5,2.0,5.0,1522,1.9,0
2024-01-02 15:00:00,2024-01-02,15,1,Tuesday,0,1,Downtown,Drive-Thru,Frappuccino,Cold,5.0,2.0,10.0,1860,18.7,0
2024-01-02 15:00:00,2024-01-02,15,1,Tuesday,0,1,Downtown,Standalone,Frappuccino,Cold,5.0,3.0,15.0,4195,20.7,0
2024-01-02 16:00:00,2024-01-02,16,1,Tuesday,0,1,Suburb-West,Mall,Cappuccino,Hot,4.5,2.0,9.0,4791,15.2,1
2024-01-02 16:00:00,2024-01-02,16,1,Tuesday,0,1,Uptown,Standalone,Tea,Hot,2.5,1.0,2.5,1101,48.5,0
2024-01-02 16:00:00,2024-01-02,16,1,Tuesday,0,1,Suburb-East,Drive-Thru,Cold Brew,Cold,4.0,1.0,4.0,2092,8.3,0
2024-01-02 17:00:00,2024-01-02,17,1,Tuesday,0,1,Downtown,Standalone,Tea,Hot,2.5,3.0,7.5,4572,3.1,0
2024-01-02 18:00:00,2024-01-02,18,1,Tuesday,0,1,Uptown,Standalone,Cold Brew,Cold,4.0,3.0,12.0,4344,-2.0,1
2024-01-02 19:00:00,2024-01-02,19,1,Tuesday,0,1,Midtown,Mall,Cold Brew,Cold,4.0,2.0,8.0,1913,22.0,0
2024-01-02 19:00:00,2024-01-02,19,1,Tuesday,0,1,Suburb-East,Standalone,Frappuccino,Cold,5.0,2.0,10.0,2141,13.5,1
2024-01-02 19:00:00,2024-01-02,19,1,Tuesday,0,1,Midtown,Drive-Thru,Tea,Hot,2.5,1.0,2.5,3783,-8.8,1
2024-01-02 19:00:00,2024-01-02,19,1,Tuesday,0,1,Midtown,Standalone,Espresso,Hot,3.0,1.0,3.0,1472,4.6,1
2024-01-02 20:00:00,2024-01-02,20,1,Tuesday,0,1,Uptown,Standalone,Iced Latte,Cold,4.5,3.0,13.5,1156,17.8,0
2024-01-02 20:00:00,2024-01-02,20,1,Tuesday,0,1,Midtown,Drive-Thru,Frappuccino,Cold,5.0,3.0,15.0,2787,8.9,0
2024-01-02 20:00:00,2024-01-02,20,1,Tuesday,0,1,Downtown,Standalone,Tea,Hot,2.5,3.0,7.5,4684,5.1,0
2024-01-02 20:00:00,2024-01-02,20,1,Tuesday,0,1,Downtown,Drive-Thru,Tea,Hot,2.5,2.0,5.0,1006,2.3,0
2024-01-03 06:00:00,2024-01-03,6,2,Wednesday,0,1,Uptown,Drive-Thru,Frappuccino,Cold,5.0,2.0,10.0,2766,26.6,0
2024-01-03 07:00:00,2024-01-03,7,2,Wednesday,0,1,Midtown,Drive-Thru,Frappuccino,Cold,5.0,1.0,5.0,3717,-2.6,1
2024-01-03 08:00:00,2024-01-03,8,2,Wednesday,0,1,Midtown,Standalone,Iced Latte,Cold,4.5,3.0,13.5,3731,19.2,0
2024-01-03 08:00:00,2024-01-03,8,2,Wednesday,0,1,Midtown,Standalone,Cappuccino,Hot,4.5,1.0,4.5,1785,6.6,0
2024-01-03 08:00:00,2024-01-03,8,2,Wednesday,0,1,Uptown,Mall,Iced Latte,Cold,4.5,1.0,4.5,2663,1.8,0
2024-01-03 08:00:00,2024-01-03,8,2,Wednesday,0,1,Midtown,Drive-Thru,Iced Latte,Cold,4.5,3.0,13.5,1860,7.6,0
2024-01-03 08:00:00,2024-01-03,8,2,Wednesday,0,1,Suburb-West,Drive-Thru,Frappuccino,Cold,5.0,2.0,10.0,2904,28.7,0
2024-01-03 09:00:00,2024-01-03,9,2,Wednesday,0,1,Uptown,Drive-Thru,Hot Chocolate,Hot,3.5,2.0,7.0,4251,5.6,1
2024-01-03 09:00:00,2024-01-03,9,2,Wednesday,0,1,Uptown,Drive-Thru,Latte,Hot,4.0,3.0,12.0,2162,11.3,0
2024-01-03 09:00:00,2024-01-03,9,2,Wednesday,0,1,Suburb-West,Mall,Frappuccino,Cold,5.0,2.0,10.0,1382,10.6,1
2024-01-03 09:00:00,2024-01-03,9,2,Wednesday,0,1,Midtown,Mall,Cold Brew,Cold,4.0,1.0,4.0,4303,33.5,0
2024-01-03 09:00:00,2024-01-03,9,2,Wednesday,0,1,Downtown,Mall,Cold Brew,Cold,4.0,1.0,4.0,2946,19.7,0
2024-01-03 10:00:00,2024-01-03,10,2,Wednesday,0,1,Suburb-East,Mall,Tea,Hot,2.5,1.0,2.5,4629,25.4,0
2024-01-03 10:00:00,2024-01-03,10,2,Wednesday,0,1,Suburb-East,Drive-Thru,Hot Chocolate,Hot,3.5,3.0,10.5,2636,14.5,0
2024-01-03 10:00:00,2024-01-03,10,2,Wednesday,0,1,Downtown,Mall,Latte,Hot,4.0,1.0,4.0,4188,21.4,0
2024-01-03 10:00:00,2024-01-03,10,2,Wednesday,0,1,Suburb-West,Mall,Hot Chocolate,Hot,3.5,1.0,3.5,1205,-1.4,0
2024-01-03 10:00:00,2024-01-03,10,2,Wednesday,0,1,Suburb-East,Drive-Thru,Cappuccino,Hot,4.5,1.0,4.5,4282,15.9,0
2024-01-03 10:00:00,2024-01-03,10,2,Wednesday,0,1,Suburb-West,Standalone,Frappuccino,Cold,5.0,1.0,5.0,4891,4.5,1
2024-01-03 10:00:00,2024-01-03,10,2,Wednesday,0,1,Suburb-West,Standalone,Tea,Hot,2.5,1.0,2.5,4402,-2.7,1
2024-01-03 11:00:00,2024-01-03,11,2,Wednesday,0,1,Uptown,Mall,Hot Chocolate,Hot,3.5,1.0,3.5,2843,4.1,0
2024-01-03 11:00:00,2024-01-03,11,2,Wednesday,0,1,Midtown,Standalone,Hot Chocolate,Hot,3.5,2.0,7.0,3567,18.5,0
2024-01-03 12:00:00,2024-01-03,12,2,Wednesday,0,1,Downtown,Standalone,Iced Latte,Cold,4.5,1.0,4.5,1960,28.7,0
2024-01-03 12:00:00,2024-01-03,12,2,Wednesday,0,1,Suburb-West,Standalone,Latte,Hot,4.0,3.0,12.0,1566,26.9,0
2024-01-03 12:00:00,2024-01-03,12,2,Wednesday,0,1,Uptown,Standalone,Cold Brew,Cold,4.0,2.0,8.0,1263,14.9,0
2024-01-03 12:00:00,2024-01-03,12,2,Wednesday,0,1,Suburb-West,Standalone,Hot Chocolate,Hot,3.5,3.0,10.5,2703,-5.3,0
2024-01-03 12:00:00,2024-01-03,12,2,Wednesday,0,1,Suburb-East,Drive-Thru,Espresso,Hot,3.0,2.0,6.0,4509,-5.3,1
2024-01-03 12:00:00,2024-01-03,12,2,Wednesday,0,1,Suburb-East,Standalone,Hot Chocolate,Hot,3.5,3.0,10.5,1024,13.6,1
2024-01-03 13:00:00,2024-01-03,13,2,Wednesday,0,1,Suburb-East,Drive-Thru,Tea,Hot,2.5,1.0,2.5,3204,16.8,1
2024-01-03 13:00:00,2024-01-03,13,2,Wednesday,0,1,Suburb-West,Standalone,Cold Brew,Cold,4.0,1.0,4.0,2999,6.9,0
2024-01-03 13:00:00,2024-01-03,13,2,Wednesday,0,1,Suburb-East,Drive-Thru,Espresso,Hot,3.0,1.0,3.0,2592,13.2,0
2024-01-03 13:00:00,2024-01-03,13,2,Wednesday,0,1,Suburb-East,Mall,Cappuccino,Hot,4.5,3.0,13.5,4442,8.7,0
2024-01-03 14:00:00,2024-01-03,14,2,Wednesday,0,1,Suburb-West,Drive-Thru,Espresso,Hot,3.0,1.0,3.0,4714,-0.1,0
2024-01-03 15:00:00,2024-01-03,15,2,Wednesday,0,1,Downtown,Standalone,Latte,Hot,4.0,2.0,8.0,3632,-2.1,0
2024-01-03 15:00:00,2024-01-03,15,2,Wednesday,0,1,Uptown,Mall,Espresso,Hot,3.0,2.0,6.0,2065,10.8,0
2024-01-03 15:00:00,2024-01-03,15,2,Wednesday,0,1,Suburb-East,Standalone,Frappuccino,Cold,5.0,1.0,5.0,2382,3.2,1
2024-01-03 15:00:00,2024-01-03,15,2,Wednesday,0,1,Midtown,Standalone,Tea,Hot,2.5,3.0,7.5,2033,6.9,1
2024-01-03 16:00:00,2024-01-03,16,2,Wednesday,0,1,Downtown,Drive-Thru,Espresso,Hot,3.0,2.0,6.0,4899,18.0,0
2024-01-03 17:00:00,2024-01-03,17,2,Wednesday,0,1,Downtown,Mall,Espresso,Hot,3.0,3.0,9.0,4089,5.3,0
2024-01-03 17:00:00,2024-01-03,17,2,Wednesday,0,1,Uptown,Mall,Espresso,Hot,3.0,1.0,3.0,3544,12.3,0
2024-01-03 17:00:00,2024-01-03,17,2,Wednesday,0,1,Suburb-East,Standalone,Latte,Hot,4.0,2.0,8.0,3310,21.5,1
2024-01-03 17:00:00,2024-01-03,17,2,Wednesday,0,1,Midtown,Drive-Thru,Frappuccino,Cold,5.0,3.0,15.0,1687,5.2,0
2024-01-03 17:00:00,2024-01-03,17,2,Wednesday,0,1,Downtown,Drive-Thru,Cappuccino,Hot,4.5,3.0,13.5,4951,2.8,0
2024-01-03 18:00:00,2024-01-03,18,2,Wednesday,0,1,Downtown,Standalone,Iced Latte,Cold,4.5,3.0,13.5,3358,7.9,0
2024-01-03 18:00:00,2024-01-03,18,2,Wednesday,0,1,Suburb-East,Drive-Thru,Cold Brew,Cold,4.0,1.0,4.0,1311,9.8,0
2024-01-03 18:00:00,2024-01-03,18,2,Wednesday,0,1,Uptown,Drive-Thru,Latte,Hot,4.0,2.0,8.0,3855,7.1,1
2024-01-03 18:00:00,2024-01-03,18,2,Wednesday,0,1,Suburb-West,Mall,Latte,Hot,4.0,1.0,4.0,4261,15.5,1
2024-01-03 19:00:00,2024-01-03,19,2,Wednesday,0,1,Midtown,Drive-Thru,Tea,Hot,2.5,1.0,2.5,3709,17.3,0
2024-01-03 19:00:00,2024-01-03,19,2,Wednesday,0,1,Midtown,Standalone,Espresso,Hot,3.0,1.0,3.0,4479,12.2,0
2024-01-03 19:00:00,2024-01-03,19,2,Wednesday,0,1,Downtown,Standalone,Tea,Hot,2.5,1.0,2.5,4935,10.1,0
2024-01-03 20:00:00,2024-01-03,20,2,Wednesday,0,1,Uptown,Drive-Thru,Tea,Hot,2.5,3.0,7.5,1721,24.5,1
2024-01-03 20:00:00,2024-01-03,20,2,Wednesday,0,1,Midtown,Drive-Thru,Hot Chocolate,Hot,3.5,3.0,10.5,2904,19.6,0
2024-01-04 06:00:00,2024-01-04,6,3,Thursday,0,1,Suburb-West,Mall,Iced Latte,Cold,4.5,2.0,9.0,2320,31.9,1
2024-01-04 06:00:00,2024-01-04,6,3,Thursday,0,1,Midtown,Drive-Thru,Hot Chocolate,Hot,3.5,2.0,7.0,1998,1.9,1
2024-01-04 06:00:00,2024-01-04,6,3,Thursday,0,1,Suburb-West,Standalone,Tea,Hot,2.5,2.0,5.0,2377,-3.5,0
2024-01-04 06:00:00,2024-01-04,6,3,Thursday,0,1,Uptown,Standalone,Hot Chocolate,Hot,3.5,1.0,3.5,1868,4.4,0
2024-01-04 06:00:00,2024-01-04,6,3,Thursday,0,1,Midtown,Standalone,Iced Latte,Cold,4.5,1.0,4.5,4605,6.8,0
2024-01-04 06:00:00,2024-01-04,6,3,Thursday,0,1,Suburb-West,Mall,Espresso,Hot,3.0,3.0,9.0,3116,-6.6,1
2024-01-04 07:00:00,2024-01-04,7,3,Thursday,0,1,Uptown,Mall,Tea,Hot,2.5,2.0,5.0,3001,26.8,0
2024-01-04 07:00:00,2024-01-04,7,3,Thursday,0,1,Suburb-East,Mall,Hot Chocolate,Hot,3.5,1.0,3.5,2835,-7.3,1
2024-01-04 07:00:00,2024-01-04,7,3,Thursday,0,1,Midtown,Standalone,Cold Brew,Cold,4.0,2.0,8.0,2656,-2.3,0
2024-01-04 07:00:00,2024-01-04,7,3,Thursday,0,1,Suburb-West,Standalone,Frappuccino,Cold,5.0,1.0,5.0,2938,11.9,0
2024-01-04 08:00:00,2024-01-04,8,3,Thursday,0,1,Suburb-East,Standalone,Frappuccino,Cold,5.0,3.0,15.0,2441,12.8,1
2024-01-04 08:00:00,2024-01-04,8,3,Thursday,0,1,Midtown,Mall,Iced Latte,Cold,4.5,2.0,9.0,1944,12.8,0
2024-01-04 08:00:00,2024-01-04,8,3,Thursday,0,1,Midtown,Drive-Thru,Latte,Hot,4.0,1.0,4.0,4042,-5.9,0
2024-01-04 08:00:00,2024-01-04,8,3,Thursday,0,1,Uptown,Standalone,Cold Brew,Cold,4.0,3.0,12.0,1886,4.0,1
2024-01-04 08:00:00,2024-01-04,8,3,Thursday,0,1,Suburb-West,Standalone,Iced Latte,Cold,4.5,2.0,9.0,1411,13.4,1
2024-01-04 09:00:00,2024-01-04,9,3,Thursday,0,1,Uptown,Drive-Thru,Frappuccino,Cold,5.0,1.0,5.0,1734,29.1,0
2024-01-04 09:00:00,2024-01-04,9,3,Thursday,0,1,Suburb-West,Mall,Cappuccino,Hot,4.5,2.0,9.0,2123,1.5,0
2024-01-04 09:00:00,2024-01-04,9,3,Thursday,0,1,Suburb-West,Drive-Thru,Iced Latte,Cold,4.5,2.0,9.0,3856,0.6,1
2024-01-04 09:00:00,2024-01-04,9,3,Thursday,0,1,Suburb-East,Standalone,Latte,Hot,4.0,1.0,4.0,4574,20.6,0
2024-01-04 09:00:00,2024-01-04,9,3,Thursday,0,1,Suburb-East,Mall,Hot Chocolate,Hot,3.5,3.0,10.5,2804,25.4,0
2024-01-04 09:00:00,2024-01-04,9,3,Thursday,0,1,Midtown,Standalone,Hot Chocolate,Hot,3.5,3.0,10.5,1467,12.4,1
2024-01-04 10:00:00,2024-01-04,10,3,Thursday,0,1,Suburb-East,Mall,Latte,Hot,4.0,3.0,12.0,3363,30.5,0
2024-01-04 10:00:00,2024-01-04,10,3,Thursday,0,1,Uptown,Standalone,Cappuccino,Hot,4.5,3.0,13.5,4322,24.0,0
2024-01-04 10:00:00,2024-01-04,10,3,Thursday,0,1,Downtown,Standalone,Cold Brew,Cold,4.0,2.0,8.0,1485,6.1,0
2024-01-04 10:00:00,2024-01-04,10,3,Thursday,0,1,Suburb-West,Standalone,Cold Brew,Cold,4.0,2.0,8.0,4177,12.0,0
2024-01-04 10:00:00,2024-01-04,10,3,Thursday,0,1,Suburb-East,Standalone,Iced Latte,Cold,4.5,2.0,9.0,4523,10.5,0
2024-01-04 10:00:00,2024-01-04,10,3,Thursday,0,1,Midtown,Mall,Espresso,Hot,3.0,2.0,6.0,3497,18.2,1
2024-01-04 11:00:00,2024-01-04,11,3,Thursday,0,1,Uptown,Mall,Cold Brew,Cold,4.0,1.0,4.0,2083,30.5,0
2024-01-04 11:00:00,2024-01-04,11,3,Thursday,0,1,Uptown,Mall,Cappuccino,Hot,4.5,3.0,13.5,3260,26.3,0
2024-01-04 12:00:00,2024-01-04,12,3,Thursday,0,1,Suburb-East,Standalone,Hot Chocolate,Hot,3.5,1.0,3.5,3823,-3.8,0
2024-01-04 12:00:00,2024-01-04,12,3,Thursday,0,1,Downtown,Drive-Thru,Cold Brew,Cold,4.0,2.0,8.0,2180,-5.2,1
2024-01-04 12:00:00,2024-01-04,12,3,Thursday,0,1,Suburb-East,Standalone,Latte,Hot,4.0,2.0,8.0,3815,22.1,0
2024-01-04 12:00:00,2024-01-04,12,3,Thursday,0,1,Suburb-West,Mall,Cold Brew,Cold,4.0,3.0,12.0,2741,-8.2,0
2024-01-04 12:00:00,2024-01-04,12,3,Thursday,0,1,Uptown,Mall,Iced Latte,Cold,4.5,3.0,13.5,4385,19.1,0
2024-01-04 13:00:00,2024-01-04,13,3,Thursday,0,1,Uptown,Drive-Thru,Iced Latte,Cold,4.5,3.0,13.5,3437,26.1,1
2024-01-04 14:00:00,2024-01-04,14,3,Thursday,0,1,Midtown,Standalone,Hot Chocolate,Hot,3.5,3.0,10.5,1509,1.9,0
2024-01-04 14:00:00,2024-01-04,14,3,Thursday,0,1,Suburb-East,Standalone,Iced Latte,Cold,4.5,1.0,4.5,3049,10.8,0
2024-01-04 14:00:00,2024-01-04,14,3,Thursday,0,1,Downtown,Standalone,Espresso,Hot,3.0,3.0,9.0,4643,13.5,0
2024-01-04 16:00:00,2024-01-04,16,3,Thursday,0,1,Suburb-West,Drive-Thru,Iced Latte,Cold,4.5,1.0,4.5,1105,10.5,0
