datetime,store,store_type,product,category,unit_price,quantity,total_price,customer_id,temperature,is_loyalty
01/01/24 20:00,Midtown,Mall,Hot Chocolate,Hot,3.5,3,10.5,4684,1.8,0
02/01/24 06:00,Uptown,Drive-Thru,Cold Brew,Cold,4,1,4,1262,1.5,0
02/01/24 06:00,Suburb-West,Mall,Cold Brew,Cold,4,3,12,3410,1.8,0
02/01/24 06:00,Downtown,Standalone,Cold Brew,Cold,4,2,8,1276,2.4,1
02/01/24 07:00,Downtown,Mall,Cold Brew,Cold,4,1,4,2140,14.6,0
02/01/24 07:00,Suburb-West,Drive-Thru,Cappuccino,Hot,4.5,1,4.5,3962,4.3,1
02/01/24 07:00,Suburb-West,Standalone,Hot Chocolate,Hot,3.5,2,7,1995,5.8,1
02/01/24 07:00,Uptown,Standalone,Latte,Hot,4,2,8,1397,17.7,0
02/01/24 08:00,Suburb-East,Mall,Tea,Hot,2.5,2,5,2912,-1.5,1
02/01/24 08:00,Downtown,Mall,Espresso,Hot,3,2,6,2649,22.2,1
02/01/24 08:00,Uptown,Mall,Cold Brew,Cold,4,1,4,1779,6.1,0
02/01/24 09:00,Suburb-East,Mall,Cappuccino,Hot,4.5,3,13.5,2140,17.2,0
02/01/24 09:00,Suburb-East,Drive-Thru,Latte,Hot,4,3,12,1207,0.5,0
02/01/24 09:00,Downtown,Mall,Latte,Hot,4,3,12,4794,2.8,1
02/01/24 10:00,Uptown,Standalone,Tea,Hot,2.5,3,7.5,2989,7.3,0
02/01/24 10:00,Downtown,Standalone,Cappuccino,Hot,4.5,2,9,2552,-0.3,0
02/01/24 10:00,Midtown,Drive-Thru,Hot Chocolate,Hot,3.5,2,7,2168,17.4,0
02/01/24 10:00,Suburb-West,Mall,,Hot,3.5,1,3.5,1634,-7.1,0
02/01/24 10:00,Downtown,Mall,Espresso,Hot,3,1,3,4063,11.2,0
02/01/24 10:00,Suburb-West,Drive-Thru,Hot Chocolate,Hot,3.5,2,7,3059,-4.4,1
02/01/24 11:00,Uptown,Mall,Espresso,Hot,3,2,6,4935,21.9,0
02/01/24 11:00,Downtown,Standalone,Latte,Hot,4,2,8,3765,11.7,1
02/01/24 11:00,Downtown,Drive-Thru,Cold Brew,Cold,4,2,8,3371,-2.2,0
02/01/24 11:00,Downtown,Drive-Thru,Tea,Hot,2.5,3,7.5,3692,-1.9,0
02/01/24 11:00,Midtown,Standalone,Iced Latte,Cold,4.5,1,4.5,1836,16.6,0
02/01/24 11:00,Uptown,Drive-Thru,Iced Latte,Cold,4.5,1,4.5,2621,-3.3,0
02/01/24 12:00,Midtown,Mall,Hot Chocolate,Hot,3.5,3,10.5,2295,9.7,1
02/01/24 12:00,Downtown,Mall,Hot Chocolate,Hot,3.5,3,10.5,3544,-3.2,1
02/01/24 12:00,Downtown,Standalone,Cold Brew,Cold,4,2,8,3072,17.2,0
02/01/24 12:00,Downtown,Standalone,Cold Brew,Cold,4,2,8,2513,9.9,0
02/01/24 13:00,Suburb-West,Drive-Thru,Iced Latte,Cold,4.5,3,13.5,3505,14.1,1
02/01/24 13:00,Suburb-West,Standalone,Espresso,Hot,3,3,9,3735,9.9,1
02/01/24 13:00,Downtown,Mall,Cappuccino,Hot,4.5,2,9,2083,11.9,0
02/01/24 13:00,Suburb-West,Mall,Cappuccino,Hot,4.5,1,4.5,2115,13.3,0
02/01/24 13:00,Midtown,,Cold Brew,Cold,4,1,4,3815,15.1,0
02/01/24 13:00,Suburb-West,Mall,Hot Chocolate,Hot,3.5,1,3.5,2028,14.7,1
02/01/24 14:00,Downtown,Mall,Tea,Hot,2.5,2,5,4397,9.3,0
02/01/24 14:00,Midtown,Mall,Cappuccino,Hot,4.5,1,4.5,3609,21,1
02/01/24 14:00,Suburb-East,Mall,Tea,Hot,2.5,3,7.5,3297,6.6,0
02/01/24 14:00,Uptown,Drive-Thru,Espresso,Hot,3,2,6,4418,12.3,0
02/01/24 14:00,Uptown,Standalone,Tea,Hot,2.5,2,5,1522,1.9,0
02/01/24 15:00,Downtown,Drive-Thru,Frappuccino,Cold,5,2,10,1860,18.7,0
02/01/24 15:00,Downtown,Standalone,Frappuccino,Cold,5,3,15,4195,20.7,0
02/01/24 16:00,Suburb-West,Mall,Cappuccino,Hot,4.5,2,9,4791,15.2,1
02/01/24 16:00,Uptown,Standalone,Tea,Hot,2.5,1,2.5,1101,48.5,0
02/01/24 16:00,Suburb-East,Drive-Thru,Cold Brew,Cold,4,1,4,2092,8.3,0
02/01/24 17:00,Downtown,Standalone,Tea,Hot,2.5,3,7.5,4572,3.1,0
02/01/24 18:00,Uptown,Standalone,Cold Brew,Cold,4,3,12,4344,-2,1
02/01/24 19:00,Midtown,Mall,Cold Brew,Cold,4,2,8,1913,22,0
02/01/24 19:00,Suburb-East,Standalone,Frappuccino,Cold,5,2,10,2141,13.5,1
02/01/24 19:00,Midtown,Drive-Thru,Tea,Hot,2.5,1,2.5,3783,-8.8,1
02/01/24 19:00,Midtown,Standalone,Espresso,Hot,3,1,3,1472,4.6,1
02/01/24 20:00,Uptown,Standalone,Iced Latte,Cold,4.5,3,13.5,1156,17.8,0
02/01/24 20:00,Midtown,Drive-Thru,Frappuccino,Cold,5,3,15,2787,8.9,0
02/01/24 20:00,Downtown,Standalone,Tea,Hot,2.5,3,7.5,4684,5.1,0
02/01/24 20:00,Downtown,Drive-Thru,Tea,Hot,2.5,2,5,1006,2.3,0
03/01/24 06:00,Uptown,Drive-Thru,Frappuccino,Cold,5,2,10,2766,26.6,0
03/01/24 07:00,Midtown,Drive-Thru,Frappuccino,Cold,5,1,5,3717,-2.6,1
03/01/24 08:00,Midtown,Standalone,Iced Latte,Cold,4.5,3,13.5,3731,19.2,0
03/01/24 08:00,Midtown,Standalone,Cappuccino,Hot,4.5,1,4.5,1785,6.6,0
03/01/24 08:00,Uptown,Mall,Iced Latte,Cold,4.5,1,4.5,2663,1.8,0
03/01/24 08:00,Midtown,Drive-Thru,Iced Latte,Cold,4.5,3,13.5,1860,7.6,0
03/01/24 08:00,Suburb-West,Drive-Thru,Frappuccino,Cold,5,2,10,2904,28.7,0
03/01/24 09:00,Uptown,Drive-Thru,Hot Chocolate,Hot,3.5,2,7,4251,5.6,1
03/01/24 09:00,Uptown,Drive-Thru,Latte,Hot,4,3,12,2162,11.3,0
03/01/24 09:00,Suburb-West,Mall,Frappuccino,Cold,5,2,10,1382,10.6,1
03/01/24 09:00,Midtown,Mall,Cold Brew,Cold,4,1,4,4303,33.5,0
03/01/24 09:00,Downtown,Mall,Cold Brew,Cold,4,1,4,2946,19.7,0
03/01/24 10:00,Suburb-East,Mall,Tea,Hot,2.5,1,2.5,4629,25.4,0
03/01/24 10:00,Suburb-East,Drive-Thru,Hot Chocolate,Hot,3.5,3,10.5,2636,14.5,0
03/01/24 10:00,Downtown,Mall,Latte,Hot,4,1,4,4188,21.4,0
03/01/24 10:00,Suburb-West,Mall,Hot Chocolate,Hot,3.5,1,3.5,1205,-1.4,0
03/01/24 10:00,Suburb-East,Drive-Thru,Cappuccino,Hot,4.5,1,4.5,4282,15.9,0
03/01/24 10:00,Suburb-West,Standalone,Frappuccino,Cold,5,1,5,4891,4.5,1
03/01/24 10:00,Suburb-West,Standalone,Tea,Hot,2.5,1,2.5,4402,-2.7,1
03/01/24 11:00,Uptown,Mall,Hot Chocolate,Hot,3.5,1,3.5,2843,4.1,0
03/01/24 11:00,Midtown,Standalone,Hot Chocolate,Hot,3.5,2,7,3567,18.5,0
03/01/24 12:00,Downtown,Standalone,Iced Latte,Cold,4.5,1,4.5,1960,28.7,0
03/01/24 12:00,Suburb-West,Standalone,Latte,Hot,4,3,12,1566,26.9,0
03/01/24 12:00,Uptown,Standalone,Cold Brew,Cold,4,2,8,1263,14.9,0
03/01/24 12:00,Suburb-West,Standalone,Hot Chocolate,Hot,3.5,3,10.5,2703,-5.3,0
03/01/24 12:00,Suburb-East,Drive-Thru,Espresso,Hot,3,2,6,4509,-5.3,1
03/01/24 12:00,Suburb-East,Standalone,Hot Chocolate,Hot,3.5,3,10.5,1024,13.6,1
03/01/24 13:00,Suburb-East,Drive-Thru,Tea,Hot,2.5,1,2.5,3204,16.8,1
03/01/24 13:00,Suburb-West,Standalone,Cold Brew,Cold,4,1,4,2999,6.9,0
03/01/24 13:00,Suburb-East,Drive-Thru,Espresso,Hot,3,1,3,2592,13.2,0
03/01/24 13:00,Suburb-East,Mall,Cappuccino,Hot,4.5,3,13.5,4442,8.7,0
03/01/24 14:00,Suburb-West,Drive-Thru,Espresso,Hot,3,1,3,4714,-0.1,0
03/01/24 15:00,Downtown,Standalone,Latte,Hot,4,2,8,3632,-2.1,0
03/01/24 15:00,Uptown,Mall,Espresso,Hot,3,2,6,2065,10.8,0
03/01/24 15:00,Suburb-East,Standalone,Frappuccino,Cold,5,1,5,2382,3.2,1
03/01/24 15:00,Midtown,Standalone,Tea,Hot,2.5,3,7.5,2033,6.9,1
03/01/24 16:00,Downtown,Drive-Thru,Espresso,Hot,3,2,6,4899,18,0
03/01/24 17:00,Downtown,Mall,Espresso,Hot,3,3,9,4089,5.3,0
03/01/24 17:00,Uptown,Mall,Espresso,Hot,3,1,3,3544,12.3,0
03/01/24 17:00,Suburb-East,Standalone,Latte,Hot,4,2,8,3310,21.5,1
03/01/24 17:00,Midtown,Drive-Thru,Frappuccino,Cold,5,3,15,1687,5.2,0
03/01/24 17:00,Downtown,Drive-Thru,Cappuccino,Hot,4.5,3,13.5,4951,2.8,0
03/01/24 18:00,Downtown,Standalone,Iced Latte,Cold,4.5,3,13.5,3358,7.9,0
03/01/24 18:00,Suburb-East,Drive-Thru,Cold Brew,Cold,4,1,4,1311,9.8,0
03/01/24 18:00,Uptown,Drive-Thru,Latte,Hot,4,2,8,3855,7.1,1
03/01/24 18:00,Suburb-West,Mall,Latte,Hot,4,1,4,4261,15.5,1
03/01/24 19:00,Midtown,Drive-Thru,Tea,Hot,2.5,1,2.5,3709,17.3,0
03/01/24 19:00,Midtown,Standalone,Espresso,Hot,3,1,3,4479,12.2,0
03/01/24 19:00,Downtown,Standalone,Tea,Hot,2.5,1,2.5,4935,10.1,0
03/01/24 20:00,Uptown,Drive-Thru,Tea,Hot,2.5,3,7.5,1721,24.5,1
03/01/24 20:00,Midtown,Drive-Thru,Hot Chocolate,Hot,3.5,3,10.5,2904,19.6,0
04/01/24 06:00,Suburb-West,Mall,Iced Latte,Cold,4.5,2,9,2320,31.9,1
04/01/24 06:00,Midtown,Drive-Thru,Hot Chocolate,Hot,3.5,2,7,1998,1.9,1
04/01/24 06:00,Suburb-West,Standalone,Tea,Hot,2.5,2,5,2377,-3.5,0
04/01/24 06:00,Uptown,Standalone,Hot Chocolate,Hot,3.5,1,3.5,1868,4.4,0
04/01/24 06:00,Midtown,Standalone,Iced Latte,Cold,4.5,1,4.5,4605,6.8,0
04/01/24 06:00,Suburb-West,Mall,Espresso,Hot,3,3,9,3116,-6.6,1
04/01/24 07:00,Uptown,Mall,Tea,Hot,2.5,2,5,3001,26.8,0
04/01/24 07:00,Suburb-East,Mall,Hot Chocolate,Hot,3.5,1,3.5,2835,-7.3,1
04/01/24 07:00,Midtown,Standalone,Cold Brew,Cold,4,2,8,2656,-2.3,0
04/01/24 07:00,Suburb-West,Standalone,Frappuccino,Cold,5,1,5,2938,11.9,0
04/01/24 08:00,Suburb-East,Standalone,Frappuccino,Cold,5,3,15,2441,12.8,1
04/01/24 08:00,Midtown,Mall,Iced Latte,Cold,4.5,2,9,1944,12.8,0
04/01/24 08:00,Midtown,Drive-Thru,Latte,Hot,4,1,4,4042,-5.9,0
04/01/24 08:00,Uptown,Standalone,Cold Brew,Cold,4,3,12,1886,4,1
04/01/24 08:00,Suburb-West,Standalone,Iced Latte,Cold,4.5,2,9,1411,13.4,1
04/01/24 09:00,Uptown,Drive-Thru,Frappuccino,Cold,5,1,5,1734,29.1,0
04/01/24 09:00,Suburb-West,Mall,Cappuccino,Hot,4.5,2,9,2123,1.5,0
04/01/24 09:00,Suburb-West,Drive-Thru,Iced Latte,Cold,4.5,2,9,3856,0.6,1
04/01/24 09:00,Suburb-East,Standalone,Latte,Hot,4,1,4,4574,20.6,0
04/01/24 09:00,Suburb-East,Mall,Hot Chocolate,Hot,3.5,3,10.5,2804,25.4,0
04/01/24 09:00,Midtown,Standalone,Hot Chocolate,Hot,3.5,3,10.5,1467,12.4,1
04/01/24 10:00,Suburb-East,Mall,Latte,Hot,4,3,12,3363,30.5,0
04/01/24 10:00,Uptown,Standalone,Cappuccino,Hot,4.5,3,13.5,4322,24,0
04/01/24 10:00,Downtown,Standalone,Cold Brew,Cold,4,2,8,1485,6.1,0
04/01/24 10:00,Suburb-West,Standalone,Cold Brew,Cold,4,2,8,4177,12,0
04/01/24 10:00,Suburb-East,Standalone,Iced Latte,Cold,4.5,2,9,4523,10.5,0
04/01/24 10:00,Midtown,Mall,Espresso,Hot,3,2,6,3497,18.2,1
04/01/24 11:00,Uptown,Mall,Cold Brew,Cold,4,1,4,2083,30.5,0
04/01/24 11:00,Uptown,Mall,Cappuccino,Hot,4.5,3,13.5,3260,26.3,0
04/01/24 12:00,Suburb-East,Standalone,Hot Chocolate,Hot,3.5,1,3.5,3823,-3.8,0
04/01/24 12:00,Downtown,Drive-Thru,Cold Brew,Cold,4,2,8,2180,-5.2,1
04/01/24 12:00,Suburb-East,Standalone,Latte,Hot,4,2,8,3815,22.1,0
04/01/24 12:00,Suburb-West,Mall,Cold Brew,Cold,4,3,12,2741,-8.2,0
04/01/24 12:00,Uptown,Mall,Iced Latte,Cold,4.5,3,13.5,4385,19.1,0
04/01/24 13:00,Uptown,Drive-Thru,Iced Latte,Cold,4.5,3,13.5,3437,26.1,1
04/01/24 14:00,Midtown,Standalone,Hot Chocolate,Hot,3.5,3,10.5,1509,1.9,0
04/01/24 14:00,Suburb-East,Standalone,Iced Latte,Cold,4.5,1,4.5,3049,10.8,0
04/01/24 14:00,Downtown,Standalone,Espresso,Hot,3,3,9,4643,13.5,0
04/01/24 16:00,Suburb-West,Drive-Thru,Iced Latte,Cold,4.5,1,4.5,1105,10.5,0
04/01/24 17:00,Suburb-West,Standalone,Espresso,Hot,3,2,6,4132,5.1,0
04/01/24 17:00,Suburb-West,Standalone,Espresso,Hot,3,1,3,4125,3.7,1
04/01/24 17:00,Suburb-West,Drive-Thru,Hot Chocolate,Hot,3.5,3,10.5,4752,7.3,0
04/01/24 18:00,Suburb-East,Standalone,Hot Chocolate,Hot,3.5,3,10.5,4969,11.8,0
04/01/24 18:00,Suburb-East,Mall,Frappuccino,Cold,5,3,15,2315,10.4,0
04/01/24 19:00,Midtown,Drive-Thru,Tea,Hot,2.5,2,5,3841,18.5,0
04/01/24 19:00,Suburb-East,Standalone,Espresso,Hot,3,3,9,2862,0.1,0
04/01/24 19:00,Midtown,Drive-Thru,Latte,Hot,4,3,12,4973,40.8,1
04/01/24 20:00,Downtown,Drive-Thru,Hot Chocolate,Hot,3.5,3,10.5,2692,21.2,0
05/01/24 06:00,Midtown,Mall,Hot Chocolate,Hot,3.5,3,10.5,3561,8.1,0
05/01/24 07:00,Uptown,Standalone,Iced Latte,Cold,4.5,1,4.5,3249,9.5,0
05/01/24 07:00,Suburb-East,Drive-Thru,Hot Chocolate,Hot,3.5,1,3.5,1497,6.5,0
05/01/24 08:00,Suburb-West,Drive-Thru,Cold Brew,Cold,4,3,12,3907,-11.1,0
05/01/24 08:00,Downtown,Mall,Tea,Hot,2.5,1,2.5,1381,-10.1,0
05/01/24 08:00,Suburb-East,Standalone,Latte,Hot,4,1,4,3653,20.7,1
05/01/24 08:00,Midtown,Standalone,Iced Latte,Cold,4.5,2,9,2701,12.3,1
05/01/24 09:00,Uptown,Mall,Hot Chocolate,Hot,3.5,1,3.5,3257,18.4,0
05/01/24 09:00,Suburb-West,Standalone,Cappuccino,Hot,4.5,1,4.5,4539,7.9,0
05/01/24 10:00,Midtown,Drive-Thru,Iced Latte,Cold,4.5,1,4.5,4360,-12.8,0
05/01/24 10:00,Midtown,Drive-Thru,Hot Chocolate,Hot,3.5,3,10.5,4544,11.7,0
05/01/24 10:00,Suburb-East,Drive-Thru,Frappuccino,Cold,5,3,15,2361,19.1,0
05/01/24 11:00,Suburb-East,Mall,Hot Chocolate,Hot,3.5,3,10.5,4820,15.7,0
05/01/24 11:00,Uptown,Standalone,Tea,Hot,2.5,3,7.5,1956,18.3,1
05/01/24 11:00,Downtown,Standalone,Frappuccino,Cold,5,2,10,4050,19.3,0
05/01/24 12:00,Suburb-East,Mall,Cappuccino,Hot,4.5,1,4.5,3028,2.4,1
05/01/24 12:00,Suburb-West,Standalone,Frappuccino,Cold,5,1,5,4562,28.5,0
05/01/24 13:00,Downtown,Standalone,Hot Chocolate,Hot,3.5,3,10.5,1062,12.7,1
05/01/24 13:00,Uptown,Standalone,Latte,Hot,4,1,4,2923,3.5,1
05/01/24 14:00,Midtown,Standalone,Tea,Hot,2.5,3,7.5,3661,10.5,0
05/01/24 15:00,Suburb-West,Drive-Thru,Tea,Hot,2.5,3,7.5,4908,21.1,0
05/01/24 15:00,Suburb-East,Drive-Thru,Espresso,Hot,3,3,9,3529,17.7,0
05/01/24 15:00,Midtown,Mall,Cold Brew,Cold,4,3,12,4058,-14.7,0
05/01/24 16:00,Downtown,Mall,Hot Chocolate,Hot,3.5,3,10.5,1681,2,0
05/01/24 16:00,Downtown,Standalone,Frappuccino,Cold,5,1,5,4261,4.9,0
05/01/24 16:00,Midtown,Standalone,Tea,Hot,2.5,1,2.5,1596,-2.4,0
05/01/24 16:00,Suburb-West,Drive-Thru,Cappuccino,Hot,4.5,2,9,1696,15.3,0
05/01/24 17:00,Suburb-East,Mall,Cold Brew,Cold,4,2,8,3038,17,1
05/01/24 17:00,Uptown,Standalone,Hot Chocolate,Hot,3.5,2,7,3612,7.3,0
05/01/24 17:00,Downtown,Drive-Thru,Hot Chocolate,Hot,3.5,2,7,4691,16.1,0
05/01/24 18:00,Uptown,Drive-Thru,Latte,Hot,4,2,8,2809,-13.3,1
05/01/24 18:00,Midtown,Standalone,Tea,Hot,2.5,1,2.5,3827,25.1,0
05/01/24 18:00,Uptown,Mall,Tea,Hot,2.5,1,2.5,4495,-2.1,0
05/01/24 18:00,Suburb-East,Drive-Thru,Frappuccino,Cold,5,2,10,3354,-6.1,0
05/01/24 19:00,Midtown,Standalone,Espresso,Hot,3,2,6,4399,22.1,0
05/01/24 19:00,Downtown,Standalone,Espresso,Hot,3,2,6,4729,1.2,0
05/01/24 19:00,Midtown,Mall,Cold Brew,Cold,4,3,12,3486,9.9,1
05/01/24 20:00,Uptown,Drive-Thru,Iced Latte,Cold,4.5,2,9,3776,20.5,1
05/01/24 20:00,Uptown,Mall,Latte,Hot,4,2,8,4700,14.8,0
05/01/24 20:00,Midtown,Drive-Thru,Hot Chocolate,Hot,3.5,1,3.5,1136,13.3,0
05/01/24 20:00,Uptown,Drive-Thru,Latte,Hot,4,2,8,4725,22.9,0
05/01/24 20:00,Suburb-East,Drive-Thru,Cappuccino,Hot,4.5,1,4.5,1822,5.6,0
05/01/24 20:00,Midtown,Standalone,Iced Latte,Cold,4.5,1,4.5,4401,17.6,0
06/01/24 06:00,Midtown,Mall,Frappuccino,Cold,5,1,5,4294,0.8,0
06/01/24 06:00,Uptown,Drive-Thru,Cold Brew,Cold,4,3,12,4523,8.9,0
06/01/24 06:00,Suburb-East,Mall,Frappuccino,Cold,5,2,10,1369,13.3,1
06/01/24 06:00,Midtown,Drive-Thru,Latte,Hot,4,3,12,2862,16.5,0
06/01/24 07:00,Midtown,Standalone,Tea,Hot,2.5,1,2.5,4368,9.4,0
06/01/24 07:00,Downtown,Drive-Thru,Cold Brew,Cold,4,1,4,2931,11.1,0
06/01/24 08:00,Midtown,Standalone,Cold Brew,Cold,4,2,8,3652,17.3,0
06/01/24 08:00,Midtown,Mall,Tea,Hot,2.5,1,2.5,1477,25.9,0
06/01/24 08:00,Midtown,Drive-Thru,Hot Chocolate,Hot,3.5,1,3.5,1475,4.9,0
06/01/24 08:00,Uptown,Drive-Thru,Tea,Hot,2.5,2,5,2858,3.7,0
06/01/24 09:00,Suburb-West,Mall,Tea,Hot,2.5,3,7.5,3405,5,1
06/01/24 09:00,Suburb-East,Standalone,Latte,Hot,4,3,12,4414,4.1,0
06/01/24 09:00,Midtown,Standalone,Espresso,Hot,3,1,3,3827,8.7,0
06/01/24 10:00,Suburb-East,Drive-Thru,Cold Brew,Cold,4,1,4,4503,-5.6,0
06/01/24 10:00,Midtown,Mall,Frappuccino,Cold,5,3,15,1248,-17.8,0
06/01/24 10:00,Downtown,Drive-Thru,Hot Chocolate,Hot,3.5,1,3.5,1375,5.6,0
06/01/24 11:00,Suburb-West,Mall,Espresso,Hot,3,1,3,1207,10.8,1
06/01/24 11:00,Uptown,Drive-Thru,Cold Brew,Cold,4,1,4,1281,20.8,1
06/01/24 11:00,Uptown,Standalone,Cold Brew,Cold,4,2,8,4330,-8.4,1
06/01/24 12:00,Uptown,Mall,Espresso,Hot,3,1,3,2135,7.3,1
06/01/24 13:00,Uptown,Drive-Thru,Iced Latte,Cold,4.5,1,4.5,4270,-1.1,0
06/01/24 13:00,Downtown,Mall,Cappuccino,Hot,4.5,1,4.5,1060,-3.6,0
06/01/24 14:00,Suburb-West,Mall,Frappuccino,Cold,5,3,15,1064,-9.1,0
06/01/24 14:00,Uptown,Mall,Tea,Hot,2.5,2,5,3154,20.4,0
06/01/24 14:00,Suburb-East,Drive-Thru,Hot Chocolate,Hot,3.5,2,7,4186,0,0
06/01/24 14:00,Downtown,Drive-Thru,Hot Chocolate,Hot,3.5,2,7,3063,-5.3,0
06/01/24 15:00,Downtown,Mall,Iced Latte,Cold,4.5,1,4.5,2876,38,0
06/01/24 15:00,Downtown,Drive-Thru,Hot Chocolate,Hot,3.5,3,10.5,4470,8.5,0
06/01/24 16:00,Downtown,Mall,Hot Chocolate,Hot,3.5,2,7,3917,15.3,1
06/01/24 16:00,Downtown,Mall,Frappuccino,Cold,5,3,15,3491,9.1,0
06/01/24 16:00,Midtown,Drive-Thru,Frappuccino,Cold,5,3,15,2560,10.3,1
06/01/24 17:00,Midtown,Mall,Hot Chocolate,Hot,3.5,2,7,3070,18.1,0
06/01/24 17:00,Downtown,Mall,Cold Brew,Cold,4,3,12,2761,-8.8,0
06/01/24 18:00,Suburb-East,Standalone,Frappuccino,Cold,5,2,10,4389,22.5,0
06/01/24 18:00,Downtown,Standalone,Frappuccino,Cold,5,1,5,2748,14.2,0
06/01/24 19:00,Midtown,Mall,Cappuccino,Hot,4.5,2,9,3813,13.3,1
06/01/24 19:00,Downtown,Drive-Thru,Latte,Hot,4,2,8,1381,-2.5,0
06/01/24 20:00,Midtown,Drive-Thru,Cappuccino,Hot,4.5,3,13.5,3278,21.9,0
06/01/24 20:00,Suburb-West,Standalone,Frappuccino,Cold,5,1,5,3744,3.3,0
06/01/24 20:00,Suburb-East,Standalone,Espresso,Hot,3,2,6,4966,6.3,0
06/01/24 20:00,Midtown,Mall,Latte,Hot,4,2,8,3367,14.7,0
07/01/24 06:00,Suburb-East,Drive-Thru,Cold Brew,Cold,4,2,8,4470,-3.3,0
07/01/24 06:00,Midtown,Mall,Latte,Hot,4,2,8,4123,8.8,0
07/01/24 06:00,Suburb-East,Drive-Thru,Espresso,Hot,3,3,9,3494,27,1
07/01/24 07:00,Midtown,Standalone,Espresso,Hot,3,2,6,1738,10.9,0
07/01/24 07:00,Midtown,Mall,Frappuccino,Cold,5,2,10,1025,-2.9,0
07/01/24 07:00,Suburb-West,Drive-Thru,Tea,Hot,2.5,3,7.5,1285,11,0
07/01/24 08:00,Downtown,Standalone,Latte,Hot,4,1,4,4056,20.3,0
07/01/24 08:00,Suburb-East,Standalone,Hot Chocolate,Hot,3.5,3,10.5,2396,14.7,0
07/01/24 08:00,Midtown,Mall,Latte,Hot,4,1,4,4618,26.2,0
